NPI,Organization Name,City,Missing Fields
1780074799,AJ DENTAL GROUP PC,DANBURY,First Name; Last Name
1356239222,ARCHWAY DENTAL SERVICES OF NY,CHAPPAQUA,First Name; Last Name
1669441473,"BENJAMIN M. FRANK, D.D.S.",DANBURY,First Name; Last Name
1821174863,BEST DENTAL CARE,DANBURY,First Name; Last Name
1750809091,BLAKE I WINOKUR DMD P.C.,DANBURY,First Name; Last Name
1336385145,CARING DENTAL GROUP OF DANBURY LLC,DANBURY,First Name; Last Name
1851775019,CT BRACES DANBURY ORTHODONTICS PC,DANBURY,First Name; Last Name
1366279622,DANBURY BRIGHT SMILES LLC,DANBURY,First Name; Last Name
1902075823,DANBURY DENTAL GROUP,DANBURY,First Name; Last Name
1528498474,DANBURY ORTHODONTICS,DANBURY,First Name; Last Name
1528372448,DANBURY PLAZA FAMILY DENTAL PC,DANBURY,First Name; Last Name
1083801427,DANBURY PUBLIC SCHOOL,DANBURY,First Name; Last Name
1831893403,"DANBURYDDS, P.C.",DANBURY,First Name; Last Name
1922549518,"DENTAL WELLNESS & HEALTH, P.C",DANBURY,First Name; Last Name
1235500729,DIAMOND DENTAL SERVICES INC,DANBURY,First Name; Last Name
1639316250,"DR. JACK L. GISH & ASSOCIATES, PC",DANBURY,First Name; Last Name
1639344740,GEORGE L LANDRESS DDS PC,DANBURY,First Name; Last Name
1457571374,GREGORY A MCKENNA DMD LLC,DANBURY,First Name; Last Name
1588040687,JLG DENTAL LLC,DANBURY,First Name; Last Name
1780701961,"MAIN STREET DENTAL, PC",DANBURY,First Name; Last Name
1316571425,MYORTHOS CONNECTICUT ORTHODONTICS PC,BRIDGEPORT,First Name; Last Name
1295993269,NEW ENGLAND DENTAL,DANBURY,First Name; Last Name
1396568101,PRESTO DENTAL PLLC,DANBURY,First Name; Last Name
1508689324,PRESTO DENTAL PLLC,STAMFORD,First Name; Last Name
1386043933,SONG DENTISTRY P C,DANBURY,First Name; Last Name
1487900528,AMAZING SMILES LLC,NORWALK,First Name; Last Name
1558904987,BAYBROOK DENTAL,WEST HAVEN,First Name; Last Name
1891281366,BON DENTAL,WEST HAVEN,First Name; Last Name
1013191212,CONNECTICUT DENTAL ASSOCIATES PC,WEST HAVEN,First Name; Last Name
1679746093,ELM FAMILY DENTAL ASSOCIATES LLC,WEST HAVEN,First Name; Last Name
